account,xmtBalance,xprBalance,refundingXpr,shortStake,xmtLpBalance,xmtLp,xprLpBalance,xprLp,farmerLpBalance,farmerLp,longStake90Days,longStake365Days,xmtLoan,xprLoan,refundingXprLoan,shortStakeLoan,xmtLpLoan,xprLpLoan,farmerLpLoan,longStake90DaysLoan,longStake365DaysLoan,totalLoan,loanDistributed
123123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131323,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141414,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
143453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212121,0,29.8025,0,0,0,0,0,0,0,0,0,0,0,29.8025,0,0,0,0,0,0,0,29.8025,0
221122,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225522,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
232323,0,65.05,0,0,0,0,0,0,0,0,0,0,0,65.05,0,0,0,0,0,0,0,65.05,0
312222,0,5.107,0,0,0,0,0,0,0,0,0,0,0,5.107,0,0,0,0,0,0,0,5.107,0
321123,0,3567.8807,0,0,0,0,0,0,0,0,0,0,0,3567.8807,0,0,0,0,0,0,0,3567.8807,0
321321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323232,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
324252,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
332211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
